icc,method,false_positive_rate,ci_low,ci_high,repetitions,seed
0.00,Cell-level test,0.0520,0.0399,0.0676,1000,20260731
0.00,Sample-level permutation,0.0290,0.0203,0.0413,1000,20260731
0.05,Cell-level test,0.3110,0.2831,0.3404,1000,20260731
0.05,Sample-level permutation,0.0320,0.0228,0.0448,1000,20260731
0.20,Cell-level test,0.5470,0.5160,0.5776,1000,20260731
0.20,Sample-level permutation,0.0300,0.0211,0.0425,1000,20260731
0.50,Cell-level test,0.7210,0.6924,0.7479,1000,20260731
0.50,Sample-level permutation,0.0270,0.0186,0.0390,1000,20260731
